Timestamp,Topico,Mensagem
2026-01-29 16:20:04,espresense/devices/apple:findmy/esp32_s3_3,"{""mac"":""c69b7d6a81e7"",""id"":""apple:findmy"",""name"":""Tag"",""idType"":250,""rssi@1m"":-39,""rssi"":-59,""raw"":3.73,""distance"":4.13,""var"":2.99,""int"":5166}"
2026-01-29 16:20:06,espresense/devices/apple:findmy/esp32_s3_1,"{""mac"":""c69b7d6a81e7"",""id"":""apple:findmy"",""name"":""Tag"",""idType"":32,""rssi@1m"":-39,""rssi"":-76,""raw"":11.41,""distance"":8.59,""var"":5.88,""int"":5878}"
2026-01-29 16:20:09,espresense/devices/apple:findmy/esp32_s3_2,"{""mac"":""c69b7d6a81e7"",""id"":""apple:findmy"",""name"":""Tag"",""idType"":250,""rssi@1m"":-39,""rssi"":-71,""raw"":8.21,""distance"":6.24,""var"":3.05,""int"":5355}"
2026-01-29 16:20:10,espresense/devices/apple:findmy/esp32_s3_3,"{""mac"":""c69b7d6a81e7"",""id"":""apple:findmy"",""name"":""Tag"",""idType"":250,""rssi@1m"":-39,""rssi"":-56,""raw"":3.06,""distance"":4.35,""var"":3.14,""int"":5172}"
2026-01-29 16:20:14,espresense/devices/apple:findmy/esp32_s3_2,"{""mac"":""c69b7d6a81e7"",""id"":""apple:findmy"",""name"":""Tag"",""idType"":250,""rssi@1m"":-39,""rssi"":-74,""raw"":10.00,""distance"":6.58,""var"":3.81,""int"":5354}"
2026-01-29 16:20:14,espresense/devices/apple:findmy/esp32_s3_3,"{""mac"":""c69b7d6a81e7"",""id"":""apple:findmy"",""name"":""Tag"",""idType"":250,""rssi@1m"":-39,""rssi"":-57,""raw"":3.27,""distance"":3.72,""var"":3.28,""int"":5131}"
2026-01-29 16:20:16,espresense/devices/apple:findmy/esp32_s3_1,"{""mac"":""cfeb086c7919"",""id"":""apple:findmy"",""name"":""Tag"",""idType"":32,""rssi@1m"":-39,""rssi"":-73,""raw"":9.36,""distance"":13.62,""var"":6.42,""int"":23488}"
2026-01-29 16:20:18,espresense/devices/apple:findmy/esp32_s3_1,"{""mac"":""c69b7d6a81e7"",""id"":""apple:findmy"",""name"":""Tag"",""idType"":32,""rssi@1m"":-39,""rssi"":-71,""raw"":8.21,""distance"":8.25,""var"":5.51,""int"":5980}"
2026-01-29 16:20:18,espresense/devices/apple:findmy/esp32_s3_3,"{""mac"":""c69b7d6a81e7"",""id"":""apple:findmy"",""name"":""Tag"",""idType"":250,""rssi@1m"":-39,""rssi"":-62,""raw"":4.54,""distance"":4.31,""var"":3.28,""int"":5124}"
2026-01-29 16:20:19,espresense/devices/apple:findmy/esp32_s3_2,"{""mac"":""c69b7d6a81e7"",""id"":""apple:findmy"",""name"":""Tag"",""idType"":250,""rssi@1m"":-39,""rssi"":-65,""raw"":5.53,""distance"":6.77,""var"":3.88,""int"":5353}"
2026-01-29 16:20:22,espresense/devices/apple:findmy/esp32_s3_3,"{""mac"":""c69b7d6a81e7"",""id"":""apple:findmy"",""name"":""Tag"",""idType"":250,""rssi@1m"":-39,""rssi"":-55,""raw"":2.87,""distance"":3.27,""var"":2.57,""int"":5117}"
2026-01-29 16:20:22,espresense/devices/apple:findmy/esp32_s3_2,"{""mac"":""cfeb086c7919"",""id"":""apple:findmy"",""name"":""Tag"",""idType"":250,""rssi@1m"":-39,""rssi"":-74,""raw"":10.00,""distance"":11.01,""var"":3.94,""int"":13310}"
2026-01-29 16:20:24,espresense/devices/apple:findmy/esp32_s3_2,"{""mac"":""c69b7d6a81e7"",""id"":""apple:findmy"",""name"":""Tag"",""idType"":250,""rssi@1m"":-39,""rssi"":-53,""raw"":2.51,""distance"":6.65,""var"":5.22,""int"":5352}"
2026-01-29 16:20:26,espresense/devices/apple:findmy/esp32_s3_2,"{""mac"":""cfeb086c7919"",""id"":""apple:findmy"",""name"":""Tag"",""idType"":250,""rssi@1m"":-39,""rssi"":-77,""raw"":12.18,""distance"":11.58,""var"":3.93,""int"":13150}"
2026-01-29 16:20:27,espresense/devices/apple:findmy/esp32_s3_3,"{""mac"":""c69b7d6a81e7"",""id"":""apple:findmy"",""name"":""Tag"",""idType"":250,""rssi@1m"":-39,""rssi"":-56,""raw"":3.06,""distance"":3.15,""var"":2.51,""int"":5116}"
2026-01-29 16:20:30,espresense/devices/apple:findmy/esp32_s3_1,"{""mac"":""c69b7d6a81e7"",""id"":""apple:findmy"",""name"":""Tag"",""idType"":32,""rssi@1m"":-39,""rssi"":-75,""raw"":10.68,""distance"":8.46,""var"":5.72,""int"":6080}"
2026-01-29 16:20:30,espresense/devices/apple:findmy/esp32_s3_2,"{""mac"":""c69b7d6a81e7"",""id"":""apple:findmy"",""name"":""Tag"",""idType"":250,""rssi@1m"":-39,""rssi"":-61,""raw"":2.51,""distance"":6.43,""var"":5.63,""int"":5354}"
2026-01-29 16:20:30,espresense/devices/apple:findmy/esp32_s3_1,"{""mac"":""cfeb086c7919"",""id"":""apple:findmy"",""name"":""Tag"",""idType"":32,""rssi@1m"":-39,""rssi"":-75,""raw"":10.68,""distance"":12.90,""var"":7.52,""int"":22857}"
2026-01-29 16:20:32,espresense/devices/apple:findmy/esp32_s3_3,"{""mac"":""c69b7d6a81e7"",""id"":""apple:findmy"",""name"":""Tag"",""idType"":250,""rssi@1m"":-39,""rssi"":-54,""raw"":2.68,""distance"":3.65,""var"":2.60,""int"":5116}"
2026-01-29 16:20:36,espresense/devices/apple:findmy/esp32_s3_2,"{""mac"":""cfeb086c7919"",""id"":""apple:findmy"",""name"":""Tag"",""idType"":250,""rssi@1m"":-39,""rssi"":-77,""raw"":12.18,""distance"":11.58,""var"":3.93,""int"":13128}"
2026-01-29 16:20:37,espresense/devices/apple:findmy/esp32_s3_3,"{""mac"":""c69b7d6a81e7"",""id"":""apple:findmy"",""name"":""Tag"",""idType"":250,""rssi@1m"":-39,""rssi"":-52,""raw"":2.35,""distance"":3.75,""var"":2.75,""int"":5115}"
2026-01-29 16:20:38,espresense/devices/apple:findmy/esp32_s3_2,"{""mac"":""c69b7d6a81e7"",""id"":""apple:findmy"",""name"":""Tag"",""idType"":250,""rssi@1m"":-39,""rssi"":-68,""raw"":6.74,""distance"":6.69,""var"":5.50,""int"":5361}"
2026-01-29 16:20:41,espresense/devices/apple:findmy/esp32_s3_2,"{""mac"":""cfeb086c7919"",""id"":""apple:findmy"",""name"":""Tag"",""idType"":250,""rssi@1m"":-39,""rssi"":-75,""raw"":10.68,""distance"":10.47,""var"":1.96,""int"":13071}"
2026-01-29 16:20:42,espresense/devices/apple:findmy/esp32_s3_3,"{""mac"":""c69b7d6a81e7"",""id"":""apple:findmy"",""name"":""Tag"",""idType"":250,""rssi@1m"":-39,""rssi"":-58,""raw"":3.49,""distance"":3.56,""var"":1.95,""int"":5114}"
2026-01-29 16:20:42,espresense/devices/apple:findmy/esp32_s3_1,"{""mac"":""c69b7d6a81e7"",""id"":""apple:findmy"",""name"":""Tag"",""idType"":32,""rssi@1m"":-39,""rssi"":-79,""raw"":13.89,""distance"":9.04,""var"":7.36,""int"":6176}"
2026-01-29 16:20:43,espresense/devices/apple:findmy/esp32_s3_2,"{""mac"":""c69b7d6a81e7"",""id"":""apple:findmy"",""name"":""Tag"",""idType"":250,""rssi@1m"":-39,""rssi"":-74,""raw"":10.00,""distance"":6.82,""var"":6.20,""int"":5360}"
2026-01-29 16:20:44,espresense/devices/apple:findmy/esp32_s3_6,"{""mac"":""c69b7d6a81e7"",""id"":""apple:findmy"",""name"":""Tag"",""idType"":250,""rssi@1m"":-39,""rssi"":-79,""raw"":13.89,""distance"":12.25,""var"":18.84,""int"":5122}"
2026-01-29 16:20:47,espresense/devices/apple:findmy/esp32_s3_3,"{""mac"":""c69b7d6a81e7"",""id"":""apple:findmy"",""name"":""Tag"",""idType"":250,""rssi@1m"":-39,""rssi"":-66,""raw"":5.91,""distance"":3.51,""var"":1.16,""int"":5082}"
2026-01-29 16:20:48,espresense/devices/apple:findmy/esp32_s3_2,"{""mac"":""c69b7d6a81e7"",""id"":""apple:findmy"",""name"":""Tag"",""idType"":250,""rssi@1m"":-39,""rssi"":-75,""raw"":10.68,""distance"":7.26,""var"":6.64,""int"":5359}"
